1924302	Klaus Bruhn Jensen		1546
1925409	Valérie Issarny		1617
1927146	Bradford W. Hesse		351
1933765	Stephen F. Burgess		18874
1937265	Herbert Bless		17671
1953599	Jana Holsanova		12203
1958599	Cars H. Hommes		2426
1964622	Allan Brown		5453
1973636	Ling Shi		18489
1974648	Angus Whyte		16754
1976046	Katerina Kabassi		17758
2016572	J. Wesley Regian		0
2021372	William Evans		13173
2039808	A. Michael Noll		18400
2046648	Klaas Sikkel		18614
2049859	Lesley Axelrod		15848
2063248	Arendse Bernth		20354
2072862	Juliann Cortese		487
2075630	Dongyan Xu	许东彦	14369
2100307	Clifford I. Nass		405
2106201	Darren Van Laar		14207
2125777	Youngme Moon		446
2128633	Jie Lu		18598
2131634	Qing Tan		4844
2131669	Markus H. Gross		3268
2137970	Umberta Bortolini		17753
2148772	Ulrich Meyer		1963
2153478	David Hutchison		11940
2162443	Gerard Smit		18614
2163535	Xiang Zhou		19684
2178137	Lynette Kvasny		14286
2189095	Stephen A. Matthews		14286
2199173	L. Robert Slevc		710
2199620	David Lowe		18598
2215392	Ryota Yamada	山田亮太	0
2221493	Belinda E. Clarke		3221
2225406	Thomas Vantroys		1692
2229885	Agnes Kukulska-hulme		13782
2230407	Ming Zhao		19399
2246842	Wei Qin	秦伟	5533
2277854	Jurgen Wilke	Jürgen Wilke	17670
2278365	Jeffrey T. Hancock		581
2280395	Brendan Stuart Weekes		3517
2285449	Joel T. Johnson		13832
2286270	Jennifer Stromer-Galley		4467
2292802	Tero Tulenheimo		1599
2293956	Norm Friesen		16385
2295515	Robert de Beaugrande		18297
2299826	Jeffrey Church		17020
2305405	Robert J. Gordon		887
2312246	Cong Li		4003
2326886	Ying Zhu		5377
2335816	Christopher T. Jordan		18561
2342252	George E. Tsekouras		4275
2345990	Warren Thorngate		5675
2346900	Michelle M. Kazmer		0
2351362	Jose Pablo Zagal	José Pablo Zagal	6927
2356502	Jolene Galegher		964
2371941	Carol Berkenkotter		12933
2373080	William F Hart-Davidson		10065
2375589	Jo Mackiewicz		4880
2393105	Priscilla Caplan		16955
2426262	Elana Joram		17406
2429814	Richard H. Hall		18520
2442875	Sandra Braman		18661
2444473	Robert L. Stevenson		13173
2446446	Marco Aurélio Gerosa		18470
2459936	Ludmila Cherkasova		479
2468871	Nan Lin		19321
2471221	Darren Newtson		9534
2471321	Sara B. Kiesler		964
2474936	MARC DAVID HAUSER		446
2497066	Rik Van de Walle		17007
2498937	Murray Turoff		13361
2499623	Jordan Zlatev		12203
2531551	Makkuni Jayaram		18561
2542587	Aldo Campi		17455
2558531	Nicholas L. Johnson		20599
2561226	Kevin L. Durrheim		17119
2565741	Mark Paxton		13484
2581921	John M. Fitzgerald		-1
2585988	David A. Wise		19084
2593057	John D. Aitchison		944
2594116	Rachel F. Warren		16881
2598453	Ronald D. Lee		566
2601759	Rand D. Conger		16729
2604734	David De Cremer		12134
2609710	Patrick J. Curran		719
2610501	Lilian Edwards		7306
2612312	Susanne M. Jones		17249
2612321	Richard E. Clark		12093
2612943	Alison Butler		661
2614446	Anthony Watkinson		3157
2616869	Lisa M. Lynch		5426
2618844	Robert Dantzer		687
2619933	Robert W. Crandall		489
2623228	Philip Gerrans		4236
2632374	Philip J. Cook		814
2637531	Peter Hagoort		14738
2638600	Pat Brereton		6892
2641846	T. A. Hall		17642
2641936	Nancy A. Mathiowetz		18661
2645539	Robert A. Lawson		15453
2650436	LINDA L. INFIELD		0
2651244	Wim Groot		20800
2651927	Vilma Vuori		16509
2654624	David L. Paletz		814
2654664	Daniel M. Davis		10527
2656054	Michael J. Rutter		3144
2660719	Franz A. Foltz		683
2667872	John L. Glascock		16795
2668634	Michele H. Jackson		6364
2671853	Suzie Allard		18573
2672908	Mark A. Eckert		12982
2673131	Carl Obermiller		15057
2673278	Janet Beavin Bavelas		18628
2675540	Diarmuid J. Pigott		12974
2678969	David Weibel		17443
2682996	Robert Allen Fox		13173
2686370	Joseph B. Walther		10065
2689238	Roy D. Johnson		2623
2691146	Martha J. Bailey		17233
2693783	Paul C. Rogers		16768
2694512	James E. Martin		6253
2697157	David Potts		5421
2699878	Elizabeth A. Vallen		15895
2702121	Lewis Donohew		17118
2703291	Carmel Lum		3120
2704990	Christophe Parisse		1863
2705488	William G. Powers		16076
2707774	Michael D Byrd		0
2707842	Michael Grahame Moore		10065
2708369	Catrin Finkenauer		18877
2709477	Bernhard Schmitz		16468
2718166	Mike Leggett		18228
2727294	James H. Smith		16443
2729284	R. Lance Shotland		14286
2733420	Michael R. Carter		15318
2734554	Hamidah Ibrahim		16351
2734663	John P. McHale		14475
2742190	Scott E. Caplan		16846
2753227	Francois Mangenot	François Mangenot	17017
2753773	Paula Phillips Carson		12146
2758130	Joseph N. Cappella		18264
2761832	Joseph E. Peters		581
2764950	Matthias Ruth		710
2765344	Andrew Whitworth		12311
2767993	Amir D. Aczel		5192
2768711	Jordan B. Peterson		16371
2770247	Patrick Grim		15818
2771059	Susan B. Barnes		707
2771631	Robert M. Rubinyi		0
2771975	J. Scott Long		10565
2772237	Christopher R. Wolfe		14475
2777065	Steven J. Spencer		9225
2780218	Kathleen M. Sutcliffe		17233
2781260	Uwe Matzat		4012
2781746	John C. Driscoll		427
2783197	Francois Anton		1557
2786745	Linda Wilkins		4225
2789745	Gun R. Semin	Gün R. Semin	2942
2790987	Steven M. Furnell		14113
2799199	Ruud Koopmans		2090
2802789	Alistair Lawson		13081
2805495	Erik Taal		18614
2805497	Oene Wiegman		18614
2811810	Nyla R. Branscombe		1547
2813760	Dmitri C. Williams		18400
2815691	George C. Christou		16955
2816757	Clare MacMartin		18199
2819282	Sonia Liff		0
2822037	Holly L. Storkel		1547
2822239	Edward A Funkhouser		6625
2824730	Paul C. Fletcher		3120
2825050	Eric R. Spangenberg		19285
2825051	Anthony R. Pratkanis		16811
2828227	Stuart E. Dreyfus		566
2831293	Michael Prosser		3517
2832965	John R. Sabourin David Baldwin		191
2832976	Stephen C. Farber		737
2835194	C. A. Elizabeth Brimacombe		18628
2835849	John Van Borsel		17007
2839692	John M. Wiemann		661
2840072	Monica Macedo-Rouet	Mônica Macedo-Rouet	1856
2840073	Isaac Epstein		0
2840074	Pierre Fayard		1856
2840518	Donald F. Dansereau		16076
2840646	W. Einar Mencl		19433
2849035	Wahidul K. Biswas		6745
2851115	Peter West		3144
2853212	John W. Meyer		405
2853575	Sik Hung Ng		6206
2854963	Sasha Calhoun		18890
2857435	David Pimentel		581
2859639	CarolAnne M. Kardash		18095
2861325	William C. Scott		5088
2864656	Ingrid Ott		2039
2865929	William R. Shadish		0
2866213	Margaret Hamilton		14641
2867021	Gwen M. Wittenbaum		10065
2867230	Lewis S. Davis		17729
2867819	Alan Baddeley		19513
2867830	William E. Loges		3718
2869921	G. R. Popelka		0
2872053	C. Ward Struthers		9157
2872117	Christopher R. Berry		16754
2874817	Nuno C. Martins		710
2877151	Ester Faia		2172
2883465	CHARLES R. LEMERY		0
2888042	Christian Greiffenhagen		12311
2889083	Kay Bishop		0
2895215	Ian Spence		16371
2902249	Fiona R. Cameron		18667
2902281	Sally Maynard		11983
